Main Class,Class,Colour
Core,Lineage specific core,#542788
Core,Multi-lineage core,#8c96c6
Core,Collection core,#08519c
Intermediate,Lineage specific intermediate,#fa9fb5
Intermediate,Multi-lineage intermediate,#c51b8a
Intermediate,Collection intermediate,#7d1158
Rare,Lineage specific rare,#fec44f
Rare,Multi-lineage rare,#d95f0e
Rare,Collection rare,#b1300b
Varied,Intermediate and rare,#edf8e9
Varied,"Core, intermediate and rare",#bae4b3
Varied,Core and rare,#74c476
Varied,Core and intermediate,#238b45